Year,Diseases Name,State,Deaths,Age-adjusted Death Rate
2016,Malaria,Andhra Pradesh,2755,55.5
2016,Malaria,Arunachal Pradesh,439,63.1
2016,Malaria,Karnataka,4010,54.2
2016,Malaria,Gujrat,1604,51.8
2016,Malaria,Odisha,13213,32
2016,Malaria,Punjab,2880,51.2
2016,Malaria,Assam,1978,50.3
2016,Malaria,Bihar,516,52.4
2016,Malaria,Haryana,401,58.3
2016,Malaria,Jammmu and Kashmir,12561,54.9
2016,Malaria,Gujrat,4701,45.8
2016,Malaria,Odisha,577,35.3
2016,Malaria,Kerala,849,49.5
2016,Malaria,Madhya Pradesh,5508,41
2016,Malaria,Manipur,3496,51.6
2016,Malaria,Nagaland,1608,45.8
2016,Malaria,Rajasthan,1444,45.7
2016,Malaria,Sikkim,3194,71
2016,Malaria,Tamil Nadu,2710,57.4
2016,Malaria,Uttar Pradesh,909,62.4
2016,Malaria,Delhi,2271,35.7
2016,Malaria,Maharashtra,3831,52.8
2016,Malaria,West Bengal,5313,50.5
2016,Malaria,Chandigarh,5476,52.2
2016,Malaria,Lakshadweep,7999,66.6
2016,Malaria,Goa,2592,64.1
2016,Alzheimer's disease,Andhra Pradesh,2507,45
2015,Alzheimer's disease,Andhra Pradesh,2282,41.8
2014,Alzheimer's disease,Andhra Pradesh,1885,35.3
2013,Alzheimer's disease,Andhra Pradesh,1398,26.7
2012,Alzheimer's disease,Andhra Pradesh,1390,27.2
2011,Alzheimer's disease,Andhra Pradesh,1486,29.7
2010,Alzheimer's disease,Andhra Pradesh,1523,31.2
2009,Alzheimer's disease,Andhra Pradesh,1521,31.6
2008,Alzheimer's disease,Andhra Pradesh,1518,32.1
2007,Alzheimer's disease,Andhra Pradesh,1517,32.6
2006,Alzheimer's disease,Andhra Pradesh,1497,32.7
2005,Alzheimer's disease,Andhra Pradesh,1501,33.4
2004,Alzheimer's disease,Andhra Pradesh,1385,31.4
2003,Alzheimer's disease,Andhra Pradesh,1268,28.8
2002,Alzheimer's disease,Andhra Pradesh,1189,27
2001,Alzheimer's disease,Andhra Pradesh,1103,25.1
2000,Alzheimer's disease,Andhra Pradesh,895,20.4
1999,Alzheimer's disease,Andhra Pradesh,772,17.8
2016,Alzheimer's disease,Arunachal Pradesh,111,25.8
2015,Alzheimer's disease,Arunachal Pradesh,68,16.7
2014,Alzheimer's disease,Arunachal Pradesh,68,17.2
2013,Alzheimer's disease,Arunachal Pradesh,72,18.9
2012,Alzheimer's disease,Arunachal Pradesh,102,27.2
2011,Alzheimer's disease,Arunachal Pradesh,72,20.5
2010,Alzheimer's disease,Arunachal Pradesh,85,25.9
2009,Alzheimer's disease,Arunachal Pradesh,67,21.5
2008,Alzheimer's disease,Arunachal Pradesh,80,27
2007,Alzheimer's disease,Arunachal Pradesh,65,22.4
2006,Alzheimer's disease,Arunachal Pradesh,73,25.9
2005,Alzheimer's disease,Arunachal Pradesh,61,22.2
2004,Alzheimer's disease,Arunachal Pradesh,48,18
2003,Alzheimer's disease,Arunachal Pradesh,56,22.9
2002,Alzheimer's disease,Arunachal Pradesh,61,25.8
2001,Alzheimer's disease,Arunachal Pradesh,44,18.9
2000,Alzheimer's disease,Arunachal Pradesh,47,21.5
1999,Alzheimer's disease,Arunachal Pradesh,24,11.9
2016,Alzheimer's disease,Pondicherry,3082,35.8
2015,Alzheimer's disease,Pondicherry,2943,35.8
2014,Alzheimer's disease,Pondicherry,2485,31.6
2013,Alzheimer's disease,Pondicherry,2383,31.7
2012,Alzheimer's disease,Pondicherry,2160,30
2011,Alzheimer's disease,Pondicherry,2348,33.7
2010,Alzheimer's disease,Pondicherry,2327,35.3
2009,Alzheimer's disease,Pondicherry,2097,32.7
2008,Alzheimer's disease,Pondicherry,2099,34
2007,Alzheimer's disease,Pondicherry,2051,34.2
2006,Alzheimer's disease,Pondicherry,2066,35.8
2005,Alzheimer's disease,Pondicherry,1831,33
2004,Alzheimer's disease,Pondicherry,1675,31.6
2003,Alzheimer's disease,Pondicherry,1703,32.9
2002,Alzheimer's disease,Pondicherry,1433,28.7
2001,Alzheimer's disease,Pondicherry,1108,22.7
2000,Alzheimer's disease,Pondicherry,1045,22
1999,Alzheimer's disease,Pondicherry,963,20.8
2016,Alzheimer's disease,Jharkhand,1475,41.3
2015,Alzheimer's disease,Jharkhand,1457,41.5
2014,Alzheimer's disease,Jharkhand,1193,34.8
2013,Alzheimer's disease,Jharkhand,918,27.2
2012,Alzheimer's disease,Jharkhand,931,27.9
2011,Alzheimer's disease,Jharkhand,1002,30.4
2010,Alzheimer's disease,Jharkhand,955,29.6
2009,Alzheimer's disease,Jharkhand,885,27.8
2008,Alzheimer's disease,Jharkhand,893,28.4
2007,Alzheimer's disease,Jharkhand,824,26.5
2006,Alzheimer's disease,Jharkhand,783,25.5
2005,Alzheimer's disease,Jharkhand,686,22.8
2004,Alzheimer's disease,Jharkhand,622,20.9
2003,Alzheimer's disease,Jharkhand,552,18.6
2002,Alzheimer's disease,Jharkhand,551,18.6
2001,Alzheimer's disease,Jharkhand,452,15.3
2000,Alzheimer's disease,Jharkhand,430,14.6
1999,Alzheimer's disease,Jharkhand,434,14.8
2016,Alzheimer's disease,Karnataka,15570,36.1
2015,Alzheimer's disease,Karnataka,15065,35.7
2014,Alzheimer's disease,Karnataka,12644,30.9
2013,Alzheimer's disease,Karnataka,11891,30
2012,Alzheimer's disease,Karnataka,11649,30
2011,Alzheimer's disease,Karnataka,11555,30.7
2010,Alzheimer's disease,Karnataka,10856,30.1
2009,Alzheimer's disease,Karnataka,9905,28.1
2008,Alzheimer's disease,Karnataka,10098,29.5
2007,Alzheimer's disease,Karnataka,8497,25.6
2006,Alzheimer's disease,Karnataka,8146,25.3
2005,Alzheimer's disease,Karnataka,7706,24.6
2004,Alzheimer's disease,Karnataka,6964,22.9
2003,Alzheimer's disease,Karnataka,6585,22
2002,Alzheimer's disease,Karnataka,5421,18.6
2001,Alzheimer's disease,Karnataka,4935,17.2
2000,Alzheimer's disease,Karnataka,4419,15.8
1999,Alzheimer's disease,Karnataka,4532,16.6
2016,Alzheimer's disease,Punjab,1835,34.7
2015,Alzheimer's disease,Punjab,1612,31.3
2014,Alzheimer's disease,Punjab,1364,27.4
2013,Alzheimer's disease,Punjab,1316,27.2
2012,Alzheimer's disease,Punjab,1322,28.4
2011,Alzheimer's disease,Punjab,1307,29
2010,Alzheimer's disease,Punjab,1334,31.1
2009,Alzheimer's disease,Punjab,1319,31.4
2008,Alzheimer's disease,Punjab,1353,33.4
2007,Alzheimer's disease,Punjab,1109,28.3
2006,Alzheimer's disease,Punjab,1058,28.1
2005,Alzheimer's disease,Punjab,1064,29.5
2004,Alzheimer's disease,Punjab,912,26.1
2003,Alzheimer's disease,Punjab,899,26.5
2002,Alzheimer's disease,Punjab,954,29
2001,Alzheimer's disease,Punjab,852,26.4
2000,Alzheimer's disease,Punjab,712,22.6
